,Year,Month,Day,Weekday,Victims,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR,Yesterday accidents
0,0,0,0.4,0.666666666666667,0.450980392156863,0.366336633663366,0.449197860962567,0.296296296296296,0,0,0.854166666666667,0,0.631901840490798,0.364532019704433,0.389473684210526,0,0,0,0,0,0,0,0.450980392156863
1,0,0.090909090909091,0.033333333333333,1,0.568627450980392,0.29042904290429,0.409090909090909,0.118518518518519,0,0,0.520833333333333,0,0.613496932515337,0.566502463054187,0.529323308270677,0.528513238289206,0,0,0,0,0,0,0.450980392156863
2,0,0.818181818181818,0.666666666666667,0,0.607843137254902,0.501650165016502,0.489304812834225,0.366666666666667,0,0,0.65625,0,0.717791411042945,0.327586206896552,0.418045112781955,0.473523421588595,0,1,0,0,0,0,0.568627450980392
3,0,0.909090909090909,0.433333333333333,0.166666666666667,0.490196078431373,0.521452145214521,0.481283422459893,0.511111111111111,0,0,0.916666666666667,0.001153881657897,0.644171779141104,0.369458128078818,0.442105263157895,0,0,1,0,0,0,0,0.607843137254902
4,0,0,0.566666666666667,0.833333333333333,0.470588235294118,0.32013201320132,0.374331550802139,0.174074074074074,0,0,0.875,0,0.404907975460123,0.278325123152709,0.362406015037594,0.318737270875764,0,0,0,0,0,0,0.490196078431373
5,0,0.909090909090909,0.766666666666667,0.666666666666667,0.294117647058824,0.455445544554455,0.508021390374332,0.333333333333333,0,0,0.822916666666667,0,0.668711656441718,0.310344827586207,0.362406015037594,0,0,0,0,0,0,0,0.470588235294118
6,0,0.090909090909091,0.9,0.166666666666667,0.490196078431373,0.293729372937294,0.344919786096257,0.185185185185185,0.993260402422348,0.993256450351837,0.59375,0,0.877300613496933,0.347290640394089,0.362406015037594,0.431771894093686,0,0,0,0,0,0,0.294117647058824
7,0,0.272727272727273,0.1,0.166666666666667,0.333333333333333,0.518151815181518,0.518716577540107,0.481481481481482,0,0,0.854166666666667,0,0.668711656441718,0.241379310344828,0.275187969924812,0,0,0,0,0,0,0,0.490196078431373
8,0,0,0.066666666666667,0.166666666666667,0.372549019607843,0.244224422442244,0.267379679144385,0.174074074074074,0,0,0.760416666666667,0,0.693251533742331,0.460591133004926,0.442105263157895,0.45112016293279,0,0,0,0,0,0,0.333333333333333
9,0,0.545454545454545,0.466666666666667,0,0.666666666666667,0.749174917491749,0.732620320855615,0.703703703703704,0,0,0.822916666666667,0.1676359272593,0.711656441717791,0.379310344827586,0.470676691729323,0,0,1,0,0,0,0,0.372549019607843
10,0,0.545454545454545,0.166666666666667,1,0.333333333333333,0.795379537953795,0.775401069518717,0.777777777777778,0,0,0.833333333333333,0,0.644171779141104,0.322660098522167,0.418045112781955,0,0,0,0,0,0,0,0.666666666666667
11,0,0.545454545454545,0.2,0.666666666666667,0.627450980392157,0.811881188118812,0.751336898395722,0.777777777777778,0,0,0.708333333333333,0,0.779141104294479,0.396551724137931,0.470676691729323,0,0,0,0,0,0,0,0.333333333333333
12,0,0.818181818181818,0.466666666666667,0.333333333333333,0.235294117647059,0.656765676567657,0.60427807486631,0.637037037037037,0,0,0.645833333333333,0,0.742331288343558,0.327586206896552,0.362406015037594,0.318737270875764,0,0,0,0,0,0,0.627450980392157
13,0,0.181818181818182,0.6,0.333333333333333,0.411764705882353,0.435643564356436,0.481283422459893,0.337037037037037,0,0,0.770833333333333,0,0.644171779141104,0.293103448275862,0.418045112781955,0,0,0,0,0,0,0,0.235294117647059
14,0,0.181818181818182,0.833333333333333,0.333333333333333,0.450980392156863,0.425742574257426,0.411764705882353,0.325925925925926,0,0,0.885416666666667,0,0.601226993865031,0.396551724137931,0.529323308270677,0,0,0,0,0,0,0,0.411764705882353
15,0,0.545454545454545,0.933333333333333,0,0.372549019607843,0.772277227722772,0.735294117647059,0.777777777777778,0,0,0.802083333333333,0,0.742331288343558,0.261083743842364,0.362406015037594,0,0,0,0,0,0,0,0.450980392156863
16,0,0.181818181818182,0.9,0.166666666666667,0.607843137254902,0.465346534653465,0.513368983957219,0.377777777777778,0,0,0.729166666666667,0.003507800240007,0.742331288343558,0.354679802955665,0.389473684210526,0.431771894093686,0,0,0,0,0,0,0.372549019607843
17,0,1,0.166666666666667,0.833333333333333,0.196078431372549,0.412541254125413,0.473262032085562,0.27037037037037,0,0,0.729166666666667,0,0.822085889570552,0.273399014778325,0.309774436090226,0,0,0,0,0,0,0,0.607843137254902
18,0,0.090909090909091,0.1,0,0.490196078431373,0.32013201320132,0.411764705882353,0.185185185185185,0,0,0.71875,0,0.668711656441718,0.445812807881773,0.442105263157895,0.544806517311609,0,0,0,0,0,0,0.196078431372549
19,0,0.454545454545454,0.466666666666667,1,0.470588235294118,0.745874587458746,0.727272727272727,0.703703703703704,0,0,0.708333333333333,0,0.730061349693252,0.288177339901478,0.24812030075188,0.341140529531568,0,0,0,0,0,0,0.490196078431373
20,0,0.818181818181818,0.566666666666667,0.833333333333333,0.431372549019608,0.646864686468647,0.663101604278075,0.537037037037037,0,0,0.729166666666667,0,0.693251533742331,0.401477832512315,0.442105263157895,0.396130346232179,0,0,0,0,0,0,0.470588235294118
