,Year,Month,Day,District Name,Victims,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR,Weekday,Holiday,Yesterday accidents
3022,2017,12,18,8,5,0.2358803986710963,0.3012048192771084,0.14705882352941177,0.0,0.0,0.6666666666666667,0.0,0.6687116564417178,0.41269841269841273,0.4180451127819549,0.4908350305498982,0.0,1.0,0.0,0.0,0.0,0.0,1,0,13
3023,2017,12,18,2,4,0.2358803986710963,0.3012048192771084,0.14705882352941177,0.0,0.0,0.6666666666666667,0.0,0.6687116564417178,0.41269841269841273,0.4180451127819549,0.4908350305498982,0.0,1.0,0.0,0.0,0.0,0.0,1,0,13
3024,2017,12,18,7,4,0.2358803986710963,0.3012048192771084,0.14705882352941177,0.0,0.0,0.6666666666666667,0.0,0.6687116564417178,0.41269841269841273,0.4180451127819549,0.4908350305498982,0.0,1.0,0.0,0.0,0.0,0.0,1,0,13
3025,2017,12,18,9,4,0.2358803986710963,0.3012048192771084,0.14705882352941177,0.0,0.0,0.6666666666666667,0.0,0.6687116564417178,0.41269841269841273,0.4180451127819549,0.4908350305498982,0.0,1.0,0.0,0.0,0.0,0.0,1,0,13
3026,2017,12,18,3,3,0.2358803986710963,0.3012048192771084,0.14705882352941177,0.0,0.0,0.6666666666666667,0.0,0.6687116564417178,0.41269841269841273,0.4180451127819549,0.4908350305498982,0.0,1.0,0.0,0.0,0.0,0.0,1,0,13
3027,2017,12,18,5,2,0.2358803986710963,0.3012048192771084,0.14705882352941177,0.0,0.0,0.6666666666666667,0.0,0.6687116564417178,0.41269841269841273,0.4180451127819549,0.4908350305498982,0.0,1.0,0.0,0.0,0.0,0.0,1,0,13
3028,2017,12,19,1,13,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3029,2017,12,19,8,1,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3030,2017,12,19,9,3,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3031,2017,12,19,3,2,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3032,2017,12,19,5,1,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3033,2017,12,19,7,4,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3034,2017,12,19,0,2,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3035,2017,12,19,4,3,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
3036,2017,12,19,2,3,0.25581395348837205,0.37951807228915657,0.11029411764705882,0.0,0.0,0.7204301075268817,0.0,0.6441717791411042,0.39682539682539686,0.362406015037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,45
