Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
2017,1,23,9.2,11.7,7.8,0,0,80,7.11,10.8,14.6,38.9,46.5,0,1,0,0,0,0
2017,1,24,8.3,13.5,5,0,0,69,1.02,10.9,14.3,27.8,0,0,0,0,0,0,0
2017,1,25,6.5,9.1,5,0,0,74,0,10,19.8,37,40.7,0,1,0,0,0,0
2017,1,26,6.9,10.6,4,0,0,79,1.52,9.8,12,18.3,0,0,1,0,0,0,0
2017,1,27,10.2,14.2,7,0,0,84,0.51,9.5,13.1,20.6,42.4,0,1,0,0,1,0
2017,1,28,11.3,14.5,8,0,0,83,18.29,10.1,12.4,24.1,0,0,1,0,0,0,0
2017,1,29,9,14.1,5.7,0,0,77,1.52,9.7,12.6,25.9,0,0,0,0,0,0,0
2017,1,30,9.9,15.2,6,0,0,80,0,10.8,11.7,22.2,0,0,0,0,0,0,0
2017,1,31,10.9,15.1,8,0,0,87,0,9.7,9.6,22.2,0,0,0,0,0,0,0
2017,2,1,10.9,15.5,8,0,0,89,0,7.4,11.5,25.9,0,0,0,0,0,0,0
2017,2,2,11.5,14.5,10,0,0,86,0,7.6,16.9,33.5,0,0,1,0,0,0,0
2017,2,3,12.2,17,8,0,0,65,0,10.9,15.9,38.9,0,0,0,0,0,0,0
2017,2,4,14.1,19,9,0,0,72,0,10.3,20.9,42.4,0,0,0,0,0,0,0
2017,2,5,13.7,15.5,11.6,0,0,70,0,11.4,26.1,42.4,61.1,0,1,0,0,0,0
2017,2,6,12.3,17.2,8,0,0,50,0,11.1,21.9,35.2,55.4,0,0,0,0,0,0
2017,2,7,13.6,18.1,10,0,0,74,0,10.9,9.8,20.6,0,0,1,0,0,0,0
2017,2,8,10.7,17.7,7,0,0,65,11.18,10.1,14.6,38.9,0,0,1,0,0,1,0
2017,2,9,8.3,13.7,4,0,0,58,0,13.4,13.5,22.2,0,0,0,0,0,0,0
2017,2,10,8.7,13.7,5.7,0,0,68,0,10.5,11.7,20.6,33.5,0,0,0,0,0,0
