Y,M,D,Holiday,Yesterday accidents
2017,9,10,0,19
2017,9,11,0,13
2017,9,12,0,11
2017,9,13,0,33
2017,9,14,0,29
2017,9,15,0,24
2017,9,16,0,34
2017,9,17,0,28
2017,9,18,0,16
2017,9,19,0,31
2017,9,20,0,37
2017,9,21,0,36
2017,9,22,0,31
2017,9,23,0,37
2017,9,24,0,22
2017,9,25,0,23
2017,9,26,0,13
2017,9,27,0,32
2017,9,28,0,24
2017,9,29,0,30
2017,9,30,0,42
2017,10,1,0,22
2017,10,2,0,18
2017,10,3,0,34
2017,10,4,0,27
2017,10,5,0,40
2017,10,6,0,30
2017,10,7,0,32
2017,10,8,0,20
2017,10,9,0,18
2017,10,10,0,28
2017,10,11,1,34
2017,10,12,1,35
2017,10,13,0,17
2017,10,14,0,25
2017,10,15,0,22
2017,10,16,0,18
2017,10,17,0,36
2017,10,18,0,33
2017,10,19,0,49
2017,10,20,0,35
2017,10,21,0,52
2017,10,22,0,28
2017,10,23,0,24
2017,10,24,0,29
2017,10,25,0,32
2017,10,26,0,38
2017,10,27,0,31
2017,10,28,0,34
2017,10,29,0,22
2017,10,30,0,15
2017,10,31,0,36
2017,11,1,1,36
2017,11,2,0,10
2017,11,3,0,32
2017,11,4,0,38
2017,11,5,0,33
2017,11,6,0,21
2017,11,7,0,19
2017,11,8,0,40
2017,11,9,0,32
2017,11,10,0,43
2017,11,11,0,44
2017,11,12,0,33
2017,11,13,0,16
2017,11,14,0,38
2017,11,15,0,32
2017,11,16,0,38
2017,11,17,0,44
2017,11,18,0,38
2017,11,19,0,29
2017,11,20,0,17
2017,11,21,0,30
2017,11,22,0,33
2017,11,23,0,43
2017,11,24,0,30
2017,11,25,0,44
2017,11,26,0,32
2017,11,27,0,16
2017,11,28,0,35
2017,11,29,0,41
2017,11,30,0,40
2017,12,1,0,50
2017,12,2,0,43
2017,12,3,0,25
2017,12,4,0,15
2017,12,5,0,30
2017,12,6,1,40
2017,12,7,0,13
2017,12,8,1,14
2017,12,9,0,8
2017,12,10,0,13
2017,12,11,0,13
2017,12,12,0,29
2017,12,13,0,29
2017,12,14,0,30
2017,12,15,0,27
2017,12,16,0,36
2017,12,17,0,36
2017,12,18,0,13
2017,12,19,0,45
2017,12,20,0,34
2017,12,21,0,34
2017,12,22,0,29
2017,12,23,0,26
2017,12,24,0,21
2017,12,25,1,20
2017,12,26,1,10
2017,12,27,0,24
2017,12,28,0,38
2017,12,29,0,25
2017,12,30,0,17
2017,12,31,0,18
2018,1,1,1,7
2018,1,2,0,16
2018,1,3,0,27
2018,1,4,0,23
2018,1,5,0,25
2018,1,6,1,22
2018,1,7,0,16
2018,1,8,0,18
2018,1,9,0,41
2018,1,10,0,34
2018,1,11,0,21
2018,1,12,0,23
2018,1,13,0,47
2018,1,14,0,29
2018,1,15,0,20
2018,1,16,0,33
2018,1,17,0,28
2018,1,18,0,30
2018,1,19,0,23
2018,1,20,0,39
2018,1,21,0,24
2018,1,22,0,16
2018,1,23,0,33
2018,1,24,0,29
2018,1,25,0,28
2018,1,26,0,38
2018,1,27,0,37
2018,1,28,0,28
2018,1,29,0,15
2018,1,30,0,27
2018,1,31,0,27
2018,2,1,0,34
2018,2,2,0,30
2018,2,3,0,30
2018,2,4,0,15
2018,2,5,0,22
2018,2,6,0,26
2018,2,7,0,37
2018,2,8,0,26
2018,2,9,0,38
2018,2,10,0,36
2018,2,11,0,19
2018,2,12,0,18
2018,2,13,0,27
2018,2,14,0,28
2018,2,15,0,27
2018,2,16,0,27
2018,2,17,0,28
2018,2,18,0,21
2018,2,19,0,20
2018,2,20,0,24
2018,2,21,0,31
2018,2,22,0,34
2018,2,23,0,26
2018,2,24,0,45
2018,2,25,0,19
2018,2,26,0,18
2018,2,27,0,26
2018,2,28,0,42
2018,3,1,0,30
2018,3,2,0,40
2018,3,3,0,50
2018,3,4,0,39
2018,3,5,0,19
2018,3,6,0,31
2018,3,7,0,36
2018,3,8,0,30
2018,3,9,0,31
2018,3,10,0,40
2018,3,11,0,29
2018,3,12,0,17
2018,3,13,0,31
2018,3,14,0,28
2018,3,15,0,32
2018,3,16,0,22
2018,3,17,0,43
2018,3,18,0,24
2018,3,19,0,18
2018,3,20,0,31
2018,3,21,0,24
2018,3,22,0,35
2018,3,23,0,32
2018,3,24,0,27
2018,3,25,0,18
2018,3,26,0,15
2018,3,27,0,29
2018,3,28,0,27
2018,3,29,0,25
2018,3,30,1,19
